x,y,no2,pm10,pm2.5,NO2_Index,PM10_Index,PM2.5_Index,Worst_Index
369975,5809325,12,14,9,2,1,2,2
369975,5809375,12,14,9,2,1,2,2
369975,5809425,12,14,9,2,1,2,2
370025,5808975,12,14,9,2,1,2,2
370025,5809025,12,14,9,2,1,2,2
370025,5809075,12,14,9,2,1,2,2
370025,5809125,12,14,9,2,1,2,2
370025,5809175,12,14,9,2,1,2,2
370025,5809225,12,14,9,2,1,2,2
370025,5809275,12,14,9,2,1,2,2
370025,5809325,12,14,9,2,1,2,2
370025,5809375,12,14,9,2,1,2,2
370025,5809425,12,14,9,2,1,2,2
370025,5809475,12,14,9,2,1,2,2
370075,5808575,11,14,9,2,1,2,2
370075,5808625,12,14,9,2,1,2,2
370075,5808675,12,14,9,2,1,2,2
370075,5808725,12,14,9,2,1,2,2
370075,5808775,12,14,9,2,1,2,2
370075,5808825,12,14,9,2,1,2,2
370075,5808875,12,14,9,2,1,2,2
370075,5808925,12,14,9,2,1,2,2
370075,5808975,12,14,9,2,1,2,2
370075,5809025,12,14,9,2,1,2,2
370075,5809075,12,14,9,2,1,2,2
370075,5809125,12,14,9,2,1,2,2
370075,5809175,12,14,9,2,1,2,2
370075,5809225,12,14,9,2,1,2,2
370075,5809275,12,14,9,2,1,2,2
370075,5809325,12,14,9,2,1,2,2
370075,5809375,12,14,9,2,1,2,2
370075,5809425,12,14,9,2,1,2,2
370075,5809475,12,14,9,2,1,2,2
370125,5808525,11,14,9,2,1,2,2
370125,5808575,11,14,9,2,1,2,2
370125,5808625,11,14,9,2,1,2,2
370125,5808675,11,14,9,2,1,2,2
370125,5808725,16,19,11,3,2,3,3
370125,5808775,12,14,9,2,1,2,2
370125,5808825,12,14,9,2,1,2,2
370125,5808875,12,14,9,2,1,2,2
370125,5808925,12,14,9,2,1,2,2
370125,5808975,12,14,9,2,1,2,2
370125,5809025,12,14,9,2,1,2,2
370125,5809075,12,14,9,2,1,2,2
370125,5809125,12,14,9,2,1,2,2
370125,5809175,12,14,9,2,1,2,2
370125,5809225,12,14,9,2,1,2,2
370125,5809275,12,14,9,2,1,2,2
370125,5809325,12,14,9,2,1,2,2
370125,5809375,12,14,9,2,1,2,2
370125,5809425,12,14,9,2,1,2,2
370125,5809475,12,14,9,2,1,2,2
370125,5809525,12,14,9,2,1,2,2
370175,5808475,11,14,9,2,1,2,2
370175,5808525,11,14,9,2,1,2,2
370175,5808575,11,14,9,2,1,2,2
370175,5808625,11,14,9,2,1,2,2
370175,5808675,11,14,9,2,1,2,2
370175,5808725,15,19,11,2,2,3,3
370175,5808775,11,14,9,2,1,2,2
370175,5808825,12,14,9,2,1,2,2
370175,5808875,12,14,9,2,1,2,2
370175,5808925,12,14,9,2,1,2,2
370175,5808975,12,14,9,2,1,2,2
370175,5809025,12,14,9,2,1,2,2
370175,5809075,12,14,9,2,1,2,2
370175,5809125,12,14,9,2,1,2,2
370175,5809175,12,14,9,2,1,2,2
370175,5809225,12,14,9,2,1,2,2
370175,5809275,12,14,9,2,1,2,2
370175,5809325,12,14,9,2,1,2,2
370175,5809375,12,14,9,2,1,2,2
370175,5809425,12,14,9,2,1,2,2
370175,5809475,12,14,9,2,1,2,2
370175,5809525,12,14,9,2,1,2,2
370225,5808475,11,14,9,2,1,2,2
370225,5808525,11,14,9,2,1,2,2
370225,5808575,11,14,9,2,1,2,2
370225,5808625,11,14,9,2,1,2,2
370225,5808675,11,14,9,2,1,2,2
370225,5808725,15,19,11,2,2,3,3
370225,5808775,12,15,10,2,1,2,2
370225,5808825,12,14,9,2,1,2,2
370225,5808875,11,14,9,2,1,2,2
370225,5808925,12,14,9,2,1,2,2
370225,5808975,12,14,9,2,1,2,2
370225,5809025,12,14,9,2,1,2,2
370225,5809075,12,14,9,2,1,2,2
370225,5809125,12,14,9,2,1,2,2
370225,5809175,12,14,9,2,1,2,2
370225,5809225,12,14,9,2,1,2,2
370225,5809275,12,14,9,2,1,2,2
370225,5809325,12,14,9,2,1,2,2
370225,5809375,12,14,9,2,1,2,2
370225,5809425,12,14,9,2,1,2,2
370225,5809475,12,14,9,2,1,2,2
370225,5809525,12,14,9,2,1,2,2
370225,5809575,12,14,9,2,1,2,2
370275,5808425,11,14,9,2,1,2,2
370275,5808475,11,14,9,2,1,2,2
370275,5808525,11,14,9,2,1,2,2
370275,5808575,11,14,9,2,1,2,2
370275,5808625,11,14,9,2,1,2,2
370275,5808675,10,14,9,1,1,2,2
370275,5808725,15,19,11,2,2,3,3
370275,5808775,11,14,9,2,1,2,2
370275,5808825,11,14,9,2,1,2,2
370275,5808875,12,15,10,2,1,2,2
370275,5808925,11,14,9,2,1,2,2
370275,5808975,11,14,9,2,1,2,2
370275,5809025,12,14,9,2,1,2,2
370275,5809075,12,14,9,2,1,2,2
370275,5809125,12,14,9,2,1,2,2
370275,5809175,12,14,9,2,1,2,2
370275,5809225,12,14,9,2,1,2,2
370275,5809275,12,14,9,2,1,2,2
370275,5809325,12,14,9,2,1,2,2
370275,5809375,12,14,9,2,1,2,2
370275,5809425,12,14,9,2,1,2,2
370275,5809475,12,14,9,2,1,2,2
370275,5809525,12,14,9,2,1,2,2
